date,district,value,n_docs,n_sections
1979-04-01,Cleveland,0.0,2,1
1979-04-01,Dallas,0.0,2,1
1979-04-01,Kansas City,0.0,2,1
1979-04-01,Minneapolis,0.0,2,1
1979-04-01,New York,0.0,2,1
1979-04-01,Philadelphia,0.0,2,1
1979-04-01,Richmond,0.0,2,1
1979-04-01,San Francisco,0.0,4,1
1979-04-01,St. Louis,0.0,2,1
1979-07-01,Atlanta,0.0,3,1
1979-07-01,Boston,0.0,3,1
1979-07-01,Chicago,0.0,3,1
1979-07-01,Cleveland,0.0,3,1
1979-07-01,Dallas,0.0,3,1
1979-07-01,Kansas City,0.0,3,1
1979-07-01,Minneapolis,0.0,6,4
1979-07-01,New York,0.0,3,1
1979-07-01,Philadelphia,0.0,3,1
1979-07-01,Richmond,0.0,3,1
1979-07-01,San Francisco,0.0,6,1
1979-07-01,St. Louis,0.0,3,1
1979-10-01,Atlanta,0.0,2,1
1979-10-01,Boston,0.0,2,1
1979-10-01,Chicago,0.0,2,1
1979-10-01,Cleveland,0.0,2,1
1979-10-01,Dallas,0.0,2,1
1979-10-01,Kansas City,0.0,2,1
1979-10-01,Minneapolis,0.0,3,2
1979-10-01,New York,0.0,2,1
1979-10-01,Philadelphia,0.0,2,1
1979-10-01,Richmond,0.0,2,1
1979-10-01,San Francisco,0.005681818181818182,4,1
1979-10-01,St. Louis,0.0,2,1
1980-01-01,Atlanta,0.0,4,2
1980-01-01,Boston,0.0,3,1
1980-01-01,Chicago,0.0,3,2
1980-01-01,Cleveland,0.007936507936507936,3,1
1980-01-01,Dallas,0.0,3,1
1980-01-01,Kansas City,0.0,3,1
1980-01-01,Minneapolis,0.0,3,1
1980-01-01,New York,0.0,3,1
1980-01-01,Philadelphia,0.0,3,1
1980-01-01,Richmond,0.0,3,1
1980-01-01,San Francisco,0.0,6,1
1980-01-01,St. Louis,0.0,2,1
1980-04-01,Atlanta,0.0,2,1
1980-04-01,Boston,0.0,2,1
1980-04-01,Chicago,0.0,1,1
1980-04-01,Cleveland,0.0,2,1
1980-04-01,Dallas,0.0,2,1
1980-04-01,Kansas City,0.0,2,1
1980-04-01,Minneapolis,0.0,2,1
1980-04-01,New York,0.0,2,1
1980-04-01,Philadelphia,0.0,2,1
1980-04-01,Richmond,0.0,2,1
1980-04-01,San Francisco,0.0,4,1
1980-04-01,St. Louis,0.0,2,1
1980-07-01,Atlanta,0.0,3,1
1980-07-01,Boston,0.0,3,1
1980-07-01,Chicago,0.0,3,1
1980-07-01,Cleveland,0.0,3,1
1980-07-01,Dallas,0.0,3,1
1980-07-01,Kansas City,0.0,3,1
1980-07-01,Minneapolis,0.0,3,1
1980-07-01,New York,0.0,3,1
1980-07-01,Philadelphia,0.0,6,4
1980-07-01,Richmond,0.0,3,1
1980-07-01,San Francisco,0.0,6,1
1980-07-01,St. Louis,0.0,3,1
1980-10-01,Atlanta,0.0,7,5
1980-10-01,Boston,0.0,3,1
1980-10-01,Chicago,0.0,3,1
1980-10-01,Cleveland,0.0,10,5
1980-10-01,Dallas,0.0,4,2
1980-10-01,Kansas City,0.0,3,1
1980-10-01,Minneapolis,0.0,15,4
1980-10-01,New York,0.0,14,4
1980-10-01,Philadelphia,0.0,15,5
1980-10-01,Richmond,0.0,13,5
1980-10-01,San Francisco,0.0,5,1
1980-10-01,St. Louis,0.0,3,1
1981-01-01,Atlanta,0.0,7,5
1981-01-01,Boston,0.0,2,1
1981-01-01,Chicago,0.0,1,1
1981-01-01,Cleveland,0.0,2,1
1981-01-01,Dallas,0.0,2,1
1981-01-01,Kansas City,0.0,2,1
1981-01-01,Minneapolis,0.0,10,4
1981-01-01,New York,0.0,7,4
1981-01-01,Philadelphia,0.0,10,5
1981-01-01,Richmond,0.0,12,4
1981-01-01,San Francisco,0.0,3,1
1981-01-01,St. Louis,0.0,2,1
1981-04-01,Atlanta,0.0,2,1
1981-04-01,Boston,0.0,2,1
1981-04-01,Chicago,0.0,2,1
1981-04-01,Cleveland,0.0,2,1
1981-04-01,Dallas,0.0,2,1
1981-04-01,Kansas City,0.0,2,1
1981-04-01,Minneapolis,0.0,10,4
1981-04-01,New York,0.0,12,4
1981-04-01,Philadelphia,0.0,11,5
1981-04-01,Richmond,0.0,11,5
1981-04-01,San Francisco,0.0,9,6
1981-04-01,St. Louis,0.0,2,1
1981-07-01,Atlanta,0.0,2,1
1981-07-01,Boston,0.0,2,1
1981-07-01,Chicago,0.0,2,1
1981-07-01,Cleveland,0.0,2,1
1981-07-01,Dallas,0.0,2,1
1981-07-01,Kansas City,0.0,2,1
1981-07-01,Minneapolis,0.0,11,5
1981-07-01,New York,0.0,7,4
1981-07-01,Philadelphia,0.0,11,5
1981-07-01,Richmond,0.0,12,5
1981-07-01,San Francisco,0.0,21,6
1981-07-01,St. Louis,0.0,2,1
1981-10-01,Atlanta,0.0,2,1
1981-10-01,Boston,0.0,2,1
1981-10-01,Chicago,0.0,2,1
1981-10-01,Cleveland,0.0,2,1
1981-10-01,Dallas,0.0,2,1
1981-10-01,Kansas City,0.0,2,1
1981-10-01,Minneapolis,0.0,10,4
1981-10-01,New York,0.0,13,5
1981-10-01,Philadelphia,0.0,9,5
1981-10-01,Richmond,0.0,12,4
1981-10-01,San Francisco,0.0,17,6
1981-10-01,St. Louis,0.0,2,1
1982-01-01,Atlanta,0.0,2,1
1982-01-01,Boston,0.0,8,4
1982-01-01,Chicago,0.0,2,1
1982-01-01,Cleveland,0.0,2,1
1982-01-01,Dallas,0.0,2,1
1982-01-01,Kansas City,0.0,2,1
1982-01-01,Minneapolis,0.0,10,4
1982-01-01,New York,0.0,13,6
1982-01-01,Philadelphia,0.02,10,5
1982-01-01,Richmond,0.0,12,4
1982-01-01,San Francisco,0.0,14,5
1982-01-01,St. Louis,0.0,2,1
1982-04-01,Atlanta,0.0,2,1
1982-04-01,Boston,0.0,7,4
1982-04-01,Chicago,0.0,2,1
1982-04-01,Cleveland,0.0,2,1
1982-04-01,Dallas,0.0,2,1
1982-04-01,Kansas City,0.0,2,1
1982-04-01,Minneapolis,0.0,13,4
1982-04-01,New York,0.0,12,4
1982-04-01,Philadelphia,0.013888888888888888,8,4
1982-04-01,Richmond,0.0,12,4
1982-04-01,San Francisco,0.0,13,5
1982-04-01,St. Louis,0.0,2,1
1982-07-01,Atlanta,0.007142857142857143,2,1
1982-07-01,Boston,0.0,6,3
1982-07-01,Chicago,0.0,2,1
1982-07-01,Cleveland,0.0,2,1
1982-07-01,Dallas,0.0,2,1
1982-07-01,Kansas City,0.0,2,1
1982-07-01,Minneapolis,0.0,6,4
1982-07-01,New York,0.0,13,4
1982-07-01,Philadelphia,0.009090909090909092,11,5
1982-07-01,Richmond,0.0,12,4
1982-07-01,San Francisco,0.00712719298245614,20,5
1982-07-01,St. Louis,0.0,7,5
1982-10-01,Atlanta,0.0,2,1
1982-10-01,Boston,0.0,3,3
1982-10-01,Chicago,0.0,2,1
1982-10-01,Cleveland,0.0,7,5
1982-10-01,Dallas,0.0,2,1
