beta,se_dk,lo_dk,hi_dk,t_crve,p_wc,n_obs,n_states,n_districts,model,sector,h
0.018627198897974512,0.09537631639672008,-0.13825288105244166,0.17550727884839068,0.39161110798665766,0.708,5850,45,12,A_own,government,2
-0.016655748878054592,0.10907430478371627,-0.1960670147087606,0.1627555169526514,-0.36986808511736363,0.785,5805,45,12,A_own,government,3
0.008994141005516161,0.13043618486522882,-0.20555429075576817,0.22354257276680048,0.12136309168521821,0.919,5760,45,12,A_own,government,4
0.09676125658915967,0.12490658893645416,-0.10869179925310356,0.3022143124314229,1.1357597646863478,0.33,5715,45,12,A_own,government,5
0.17850607337337357,0.12453498824217955,-0.02633575371913438,0.3833479004658815,2.9073339334017763,0.108,5670,45,12,A_own,government,6
0.16337748909260416,0.1060014792490301,-0.010979428512384176,0.33773440669759247,1.5038592484483455,0.267,5625,45,12,A_own,government,7
0.1258757269501206,0.10440245262119696,-0.04585102590648446,0.2976024798067256,0.9637807062567112,0.391,5580,45,12,A_own,government,8
0.09803192793025103,0.10783627953322043,-0.07934296757691939,0.27540682343742146,0.6495701201485408,0.563,5535,45,12,A_own,government,9
0.10043235859058232,0.11542193686787995,-0.08941983289631385,0.2902845500774785,0.8378980387742905,0.428,5490,45,12,A_own,government,10
0.13952582099764618,0.13139254478529558,-0.07659568284683096,0.35564732484212336,1.0778215025403066,0.399,5445,45,12,A_own,government,11
0.031964551559886624,0.12502473898837022,-0.17368284382379523,0.23761194694356846,0.25325369229515426,0.796,5400,45,12,A_own,government,12
0.14578521767447297,0.09253836772392314,-0.006426852108391029,0.297997287457337,1.4468242211159457,0.394,5940,45,12,B_horserace,mfg,0
0.07420728818779834,0.09985124694772479,-0.09003339750979389,0.23844797388539057,0.8877564574296894,0.519,5895,45,12,B_horserace,mfg,1
0.033667530315718855,0.12476784913269051,-0.17155731885712122,0.2388923794885589,0.6735829259004545,0.575,5850,45,12,B_horserace,mfg,2
-0.018898480850811143,0.151432196617603,-0.26798227869450386,0.23018531699288156,-0.2695566825930117,0.797,5805,45,12,B_horserace,mfg,3
-0.019113717323939718,0.16776426268067177,-0.29506137326708215,0.2568339386192027,-0.20865723911026782,0.895,5760,45,12,B_horserace,mfg,4
0.0807460944452083,0.14191344125414146,-0.15268074411483093,0.3141729330052475,0.8277921379638565,0.477,5715,45,12,B_horserace,mfg,5
0.19358499478176816,0.13660171974131421,-0.031104839382541022,0.41827482894607737,2.45943947748201,0.216,5670,45,12,B_horserace,mfg,6
0.16126728644870697,0.1300156075424633,-0.052589357177812934,0.3751239300752269,1.1128693543089316,0.359,5625,45,12,B_horserace,mfg,7
0.07693780604210688,0.16180093655930006,-0.18920105130160286,0.3430766633858166,0.43785265181425753,0.679,5580,45,12,B_horserace,mfg,8
0.04492063801992686,0.1792752893761001,-0.2499609719331261,0.3398022479729798,0.23536811486713188,0.821,5535,45,12,B_horserace,mfg,9
0.05138658090723645,0.1987450946194682,-0.2755200088164093,0.37829317063088225,0.32941982399567465,0.739,5490,45,12,B_horserace,mfg,10
0.11722336802435998,0.20498519801942855,-0.21994727840926273,0.45439401445798266,0.745607982224836,0.521,5445,45,12,B_horserace,mfg,11
-0.05381596758575007,0.20769377099209915,-0.3954418200973328,0.28780988492583265,-0.39584356516730596,0.682,5400,45,12,B_horserace,mfg,12
0.042575271022110624,0.029086748505179845,-0.005268172752859748,0.090418714797081,1.4109735943516581,0.487,5940,45,12,B_horserace,mining,0
0.04348923546002257,0.03565488383313729,-0.015157829531446697,0.10213630045149183,2.0899979029276983,0.228,5895,45,12,B_horserace,mining,1
0.022937816780926996,0.03980202580668314,-0.04253068972721185,0.08840632328906584,1.4718109462041509,0.447,5850,45,12,B_horserace,mining,2
0.005535264581518688,0.04919298606794607,-0.07537999697291564,0.08645052613595303,0.29373910711504175,0.859,5805,45,12,B_horserace,mining,3
