proxy,sample,detrend,scheme,family,sigma_hat,se,resp_h12,peak_h,n_obs,error,diag_n_fail,ci_lo,ci_hi,diag_n_accepted,diag_n_trad,diag_n_narr,diag_ess,diag_events,diag_first_stage_F,diag_fev_share,diag_u_col,diag_var_ratio,diag_k_breaks,diag_kurt,diag_p_aug,diag_hd_events
wui,pre2020,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,pre2020,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
wui,pre2020,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
wui,pre2020,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,full,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,full,fd,magmav,heteroskedasticity,,,,-1,786,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
jln,full,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
jln,full,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,full,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,post1985,fd,narrative,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,post1985,fd,magmav,heteroskedasticity,,,,-1,492,"ValueError: run_scheme[magmav]: identification failed (eu=(0, 0), k_breaks=4) — Cholesky fallback rejected as a distinct scheme; spec marked failed.",,,,,,,,,,,,,,,,
jln,post1985,fd,la_lp,local-projection,,,,-1,0,la_lp is detrend-invariant; kept only under lt,,,,,,,,,,,,,,,,
jln,post1985,fd,narrative_t2,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,post1985,fd,narrative_t3,narrative-sign,,,,-1,0,narrative kept only under lt (baseline detrending) — Phase 2 grid scope; skip logged,,,,,,,,,,,,,,,,
jln,pre2020,lt,narrative_t3,narrative-sign,,,,-1,714,"ValueError: run_scheme[narrative_t3]: Type III restricts the COVID month, which is outside this cell's window — cell would duplicate narrative_t2.",,,,,,,,,,,,,,,,
