beta,psik,ok,n_stable,margin,robust
0.966,6.1,True,12,0.042597506205082514,True
0.97325,6.1,True,12,0.03825727324828676,True
0.9805,6.1,True,12,0.03331189040880023,True
0.98775,6.1,True,12,0.027779335557282403,True
0.995,6.1,True,12,0.022027046318316423,True
0.85,6.5874999999999995,True,12,0.07153034603491093,True
0.85725,6.5874999999999995,True,12,0.07052405021246244,True
0.8644999999999999,6.5874999999999995,True,12,0.06945756830042038,True
0.87175,6.5874999999999995,True,12,0.06832479323233986,True
0.879,6.5874999999999995,True,12,0.06711843055197986,True
0.88625,6.5874999999999995,True,12,0.06583029294737341,True
0.8935,6.5874999999999995,True,12,0.06445062453930561,True
0.9007499999999999,6.5874999999999995,True,12,0.06296790003791652,True
0.908,6.5874999999999995,True,12,0.06136855328538604,True
0.91525,6.5874999999999995,True,12,0.059636183227322226,True
0.9225,6.5874999999999995,True,12,0.05775088445719445,True
0.92975,6.5874999999999995,True,12,0.055688374697048126,True
0.937,6.5874999999999995,True,12,0.05341860043429214,True
0.94425,6.5874999999999995,True,12,0.05090387001806107,True
0.9515,6.5874999999999995,True,12,0.04809684589735308,True
0.95875,6.5874999999999995,True,12,0.04493783988022049,True
0.966,6.5874999999999995,True,12,0.04135260041033839,True
0.97325,6.5874999999999995,True,12,0.037254613992262375,True
0.9805,6.5874999999999995,True,12,0.03256394520395911,True
0.98775,6.5874999999999995,True,12,0.027286354015732206,True
0.995,6.5874999999999995,True,12,0.021760229834565825,True
0.85,7.075,True,12,0.06832161789225444,True
0.85725,7.075,True,12,0.06739644838732761,True
0.8644999999999999,7.075,True,12,0.06641485221451804,True
0.87175,7.075,True,12,0.06537096634464235,True
0.879,7.075,True,12,0.06425796182440913,True
0.88625,7.075,True,12,0.0630680281610384,True
0.8935,7.075,True,12,0.06179184343779265,True
0.9007499999999999,7.075,True,12,0.060418510305346174,True
0.908,7.075,True,12,0.05893500442764876,True
0.91525,7.075,True,12,0.05732566492043756,True
0.9225,7.075,True,12,0.0555715179489491,True
0.92975,7.075,True,12,0.053649158326552704,True
0.937,7.075,True,12,0.051529669492045294,True
0.94425,7.075,True,12,0.04917668980471812,True
0.9515,7.075,True,12,0.04654422897114596,True
0.95875,7.075,True,12,0.04357415384310448,True
0.966,7.075,True,12,0.040193449198843045,True
0.97325,7.075,True,12,0.036315807234180264,True
0.9805,7.075,True,12,0.03185853118297588,True
0.98775,7.075,True,12,0.026816999867669167,True
0.995,7.075,True,12,0.021503188090048586,True
0.85,7.5625,True,12,0.06540652498110844,True
0.85725,7.5625,True,12,0.06455276968879975,True
0.8644999999999999,7.5625,True,12,0.06364595760824165,True
0.87175,7.5625,True,12,0.06268055869617661,True
0.879,7.5625,True,12,0.0616500800955434,True
0.88625,7.5625,True,12,0.060547065052819704,True
0.8935,7.5625,True,12,0.05936262596516373,True
0.9007499999999999,7.5625,True,12,0.05808641041850293,True
0.908,7.5625,True,12,0.05670592132400876,True
0.91525,7.5625,True,12,0.055206293420450026,True
0.9225,7.5625,True,12,0.05356913565415089,True
