code,date,Y,C,I,K,EMP,H,use_hours,alpha,alpha_c,logA,logS,logD
KOR,2015-01-01,454302800.0,276413300.0,153353500.0,6550338163.45016,26023.4,12491232.0,0,0.553305433866253,0.5,0.462614479330365,0.0889820730628769,-0.1260161076975
KOR,2015-04-01,456256600.0,277752500.0,154939300.0,6605436590.99841,26136.8,12545664.0,0,0.546960578636589,0.5,0.460543659185994,0.0884402875589367,-0.144539744598362
KOR,2015-07-01,463025500.0,278298500.0,165055800.0,6661294342.13343,26239.0,12594720.0,0,0.546744146026729,0.5,0.469108743748163,0.101203195906072,-0.22871723580565
KOR,2015-10-01,466604000.0,282941800.0,164955000.0,6726430727.00143,26305.5,12626640.0,0,0.541631706871093,0.5,0.470676533670259,0.0923550558132146,0.119742693962455
KOR,2016-01-01,468400300.0,285385500.0,160423700.0,6790489266.09641,26211.2,12581376.0,0,0.54947361658908,0.5,0.471575322162471,0.0875977207287428,-0.0490812993420521
KOR,2016-04-01,474271500.0,286662800.0,168432300.0,6849055627.10496,26352.0,12648960.0,0,0.553525053667731,0.5,0.477059414801127,0.0955886768029755,-0.156700276501497
KOR,2016-07-01,476105600.0,289671300.0,172953200.0,6914752092.69839,26500.2,12720096.0,0,0.546613023110869,0.5,0.473341929440477,0.089008192892518,-0.00419646732792
KOR,2016-10-01,479773700.0,289107400.0,176387900.0,6983984011.30791,26558.8,12748224.0,0,0.546171770578286,0.5,0.474931146412355,0.0986316354158795,-0.333532751729123
KOR,2017-01-01,485188100.0,291559900.0,183049700.0,7055612151.13829,26565.2,12751296.0,0,0.55245878120495,0.5,0.480930879584899,0.101406523661839,-0.0496423899489135
KOR,2017-04-01,488752200.0,294799700.0,185829300.0,7132827668.87122,26716.7,12824016.0,0,0.547966091281708,0.5,0.479964269940775,0.0976748162853912,0.0145390646551516
KOR,2017-07-01,495472500.0,298045800.0,186569900.0,7211664553.83815,26777.7,12853296.0,0,0.559367965703528,0.5,0.486984178973002,0.100380033155912,0.0096183683910448
KOR,2017-10-01,494319300.0,300064600.0,187760900.0,7290059485.53058,26824.4,12875712.0,0,0.54758453888588,0.5,0.478376799244086,0.0912992262490965,-0.0770843347006187
KOR,2018-01-01,501586100.0,303725000.0,193651800.0,7368469493.24762,26763.4,12846432.0,0,0.54402211488747,0.5,0.488759575659776,0.0937679372629356,0.045143923518947
KOR,2018-04-01,505496700.0,304606100.0,189045600.0,7451594250.8489,26809.6,12868608.0,0,0.544418413892446,0.5,0.490054440682735,0.0986373901175753,-0.178397358045056
KOR,2018-07-01,508089300.0,307586500.0,180201600.0,7528865937.08617,26790.7,12859536.0,0,0.546052233729676,0.5,0.490364549143914,0.0940162174220969,-0.0003752816396601
KOR,2018-10-01,510930200.0,311427800.0,183569900.0,7596134548.02988,26914.5,12918960.0,0,0.543744705578231,0.5,0.489187593689545,0.0871808026940593,0.0634256211800307
KOR,2019-01-01,511364000.0,313670700.0,185563600.0,7665762429.80943,26962.2,12941856.0,0,0.531661522715498,0.5,0.484588682706187,0.0808533022822721,-0.0501701645758516
KOR,2019-04-01,518107400.0,315507400.0,188697800.0,7736339593.36229,27043.4,12980832.0,0,0.532338911296292,0.5,0.491603685774588,0.0881157665286555,-0.087675158200065
KOR,2019-07-01,519165900.0,318945000.0,181497300.0,7808992299.46185,27153.2,13033536.0,0,0.524875247148185,0.5,0.486945017453905,0.0793201575328722,0.0398842924956442
KOR,2019-10-01,524345100.0,322584400.0,181728800.0,7873354714.96992,27340.1,13123248.0,0,0.524678896664835,0.5,0.489337640015459,0.0779005943030048,0.0496835090831627
KOR,2020-01-01,517612000.0,309174400.0,186188700.0,7936983194.24537,27266.8,13088064.0,0,0.520993392996081,0.5,0.473731326084352,0.107435754258782,
