serie,edicion,periodo,valor
B1GQ_Q,200009,1994-Q2,1311560000000
B1GQ_Q,200009,1994-Q3,1319791000000
B1GQ_Q,200009,1994-Q4,1330491000000
B1GQ_Q,200009,1995-Q1,1268504000000
B1GQ_Q,200009,1995-Q2,1203604000000
B1GQ_Q,200009,1995-Q3,1213125000000
B1GQ_Q,200009,1995-Q4,1236126000000
B1GQ_Q,200009,1996-Q1,1268881000000
B1GQ_Q,200009,1996-Q2,1283349000000
B1GQ_Q,200009,1996-Q3,1297948000000
B1GQ_Q,200009,1996-Q4,1324182000000
B1GQ_Q,200009,1997-Q1,1349866000000
B1GQ_Q,200009,1997-Q2,1368851000000
B1GQ_Q,200009,1997-Q3,1392354000000
B1GQ_Q,200009,1997-Q4,1413476000000
B1GQ_Q,200009,1998-Q1,1428969000000
B1GQ_Q,200009,1998-Q2,1450006000000
B1GQ_Q,200009,1998-Q3,1461376000000
B1GQ_Q,200009,1998-Q4,1452162000000
B1GQ_Q,200009,1999-Q1,1463065000000
B1GQ_Q,200009,1999-Q2,1488803000000
B1GQ_Q,200009,1999-Q3,1522197000000
B1GQ_Q,200009,1999-Q4,1529423000000
B1GQ_Q,200009,2000-Q1,1573661000000
B1GQ_Q,200010,1993-Q1,1248725000000
B1GQ_Q,200010,1993-Q2,1260352000000
B1GQ_Q,200010,1993-Q3,1211580000000
B1GQ_Q,200010,1993-Q4,1304127000000
B1GQ_Q,200010,1994-Q1,1277838000000
B1GQ_Q,200010,1994-Q2,1331435000000
B1GQ_Q,200010,1994-Q3,1267386000000
B1GQ_Q,200010,1994-Q4,1372142000000
B1GQ_Q,200010,1995-Q1,1272242000000
B1GQ_Q,200010,1995-Q2,1209053000000
B1GQ_Q,200010,1995-Q3,1165580000000
B1GQ_Q,200010,1995-Q4,1275557000000
B1GQ_Q,200010,1996-Q1,1273078000000
B1GQ_Q,200010,1996-Q2,1287401000000
B1GQ_Q,200010,1996-Q3,1248665000000
B1GQ_Q,200010,1996-Q4,1366292000000
B1GQ_Q,200010,1997-Q1,1331527000000
B1GQ_Q,200010,1997-Q2,1395247000000
B1GQ_Q,200010,1997-Q3,1342048000000
B1GQ_Q,200010,1997-Q4,1457278000000
B1GQ_Q,200010,1998-Q1,1430821000000
B1GQ_Q,200010,1998-Q2,1454491000000
B1GQ_Q,200010,1998-Q3,1411537000000
B1GQ_Q,200010,1998-Q4,1495691000000
B1GQ_Q,200010,1999-Q1,1457161000000
B1GQ_Q,200010,1999-Q2,1500167000000
B1GQ_Q,200010,1999-Q3,1472607000000
B1GQ_Q,200010,1999-Q4,1574097000000
B1GQ_Q,200010,2000-Q1,1572318000000
B1GQ_Q,200010,2000-Q2,1614603000000
B1GQ_Q,200011,1993-Q1,1248725000000
B1GQ_Q,200011,1993-Q2,1260352000000
B1GQ_Q,200011,1993-Q3,1211580000000
B1GQ_Q,200011,1993-Q4,1304127000000
B1GQ_Q,200011,1994-Q1,1277838000000
B1GQ_Q,200011,1994-Q2,1331435000000
