code,periodo,valor,variable,price_base
IDN,2000-Q2,1007085097.4,gdp_vol,Q
IDN,2000-Q3,1031621787.4,gdp_vol,Q
IDN,2000-Q4,1061287238.5,gdp_vol,Q
IDN,2001-Q1,1053724548.7,gdp_vol,Q
IDN,2001-Q2,1064503041.7,gdp_vol,Q
IDN,2001-Q3,1064723806.5,gdp_vol,Q
IDN,2001-Q4,1079803504.2,gdp_vol,Q
IDN,2002-Q1,1092967373.4,gdp_vol,Q
IDN,2002-Q2,1107016689.4,gdp_vol,Q
IDN,2002-Q3,1121225595.6,gdp_vol,Q
IDN,2002-Q4,1133346850.7,gdp_vol,Q
IDN,2003-Q1,1148138310.8,gdp_vol,Q
IDN,2003-Q2,1161156638.7,gdp_vol,Q
IDN,2003-Q3,1173320795.6,gdp_vol,Q
IDN,2003-Q4,1184885007.8,gdp_vol,Q
IDN,2004-Q1,1198807260.6,gdp_vol,Q
IDN,2004-Q2,1213143896.8,gdp_vol,Q
IDN,2004-Q3,1227905795.3,gdp_vol,Q
IDN,2004-Q4,1262459879.8,gdp_vol,Q
IDN,2005-Q1,1272698656.9,gdp_vol,Q
IDN,2005-Q2,1287273733.3,gdp_vol,Q
IDN,2005-Q3,1301458227.9,gdp_vol,Q
IDN,2005-Q4,1319954094.9,gdp_vol,Q
IDN,2006-Q1,1337393578.3,gdp_vol,Q
IDN,2006-Q2,1354469278.2,gdp_vol,Q
IDN,2006-Q3,1376301897.3,gdp_vol,Q
IDN,2006-Q4,1398245434.2,gdp_vol,Q
IDN,2007-Q1,1420985934.2,gdp_vol,Q
IDN,2007-Q2,1444669538.6,gdp_vol,Q
IDN,2007-Q3,1467445669.0,gdp_vol,Q
IDN,2007-Q4,1480153989.0,gdp_vol,Q
IDN,2008-Q1,1513071211.2,gdp_vol,Q
IDN,2008-Q2,1535483757.5,gdp_vol,Q
IDN,2008-Q3,1555822432.3,gdp_vol,Q
IDN,2008-Q4,1558469599.0,gdp_vol,Q
IDN,2009-Q1,1579736481.2,gdp_vol,Q
IDN,2009-Q2,1599686188.7,gdp_vol,Q
IDN,2009-Q3,1624635349.7,gdp_vol,Q
IDN,2009-Q4,1648551780.5,gdp_vol,Q
IDN,2010-Q1,1675172557.0,gdp_vol,Q
IDN,2010-Q2,1703433185.8,gdp_vol,Q
IDN,2010-Q3,1728907813.1,gdp_vol,Q
IDN,2010-Q4,1756619544.1,gdp_vol,Q
IDN,2011-Q1,1782182595.6,gdp_vol,Q
IDN,2011-Q2,1807970614.5,gdp_vol,Q
IDN,2011-Q3,1835409706.8,gdp_vol,Q
IDN,2011-Q4,1862072383.1,gdp_vol,Q
IDN,2012-Q1,1890327515.5,gdp_vol,Q
IDN,2012-Q2,1918317446.2,gdp_vol,Q
IDN,2012-Q3,1945632295.8,gdp_vol,Q
IDN,2012-Q4,1972806142.5,gdp_vol,Q
IDN,2013-Q1,1999867862.7,gdp_vol,Q
IDN,2013-Q2,2026008935.3,gdp_vol,Q
