code,date,e
BRA,2005-07-01,2.3452125988863166
BRA,2005-10-01,2.2485656531926437
BRA,2006-01-01,2.1943743205461765
BRA,2006-04-01,2.18404775304519
BRA,2006-07-01,2.1710379618875097
BRA,2006-10-01,2.1510627522539667
BRA,2007-01-01,2.107405667658497
BRA,2007-04-01,1.9824858605997235
BRA,2007-07-01,1.91562022166232
BRA,2007-10-01,1.78398030697925
BRA,2008-01-01,1.7381387187149766
BRA,2008-04-01,1.6549379490281366
BRA,2008-07-01,1.6662307798283467
BRA,2008-10-01,2.28092826103116
BRA,2009-01-01,2.3165712056954533
BRA,2009-04-01,2.0758388158542567
BRA,2009-07-01,1.8660216808785701
BRA,2009-10-01,1.7397169500036103
BRA,2010-01-01,1.8024639820722932
BRA,2010-04-01,1.79284415863997
BRA,2010-07-01,1.7485909100151502
BRA,2010-10-01,1.6968595544149265
BRA,2011-01-01,1.6662560016555565
BRA,2011-04-01,1.5943968276984133
BRA,2011-07-01,1.6359772539199764
BRA,2011-10-01,1.7987013046883102
BRA,2012-01-01,1.7661608956341965
BRA,2012-04-01,1.9610683264161466
BRA,2012-07-01,2.027380103096507
BRA,2012-10-01,2.05738788101876
BRA,2013-01-01,1.9956129059250534
BRA,2013-04-01,2.071100720870563
BRA,2013-07-01,2.2879810167705936
BRA,2013-10-01,2.27685871066042
BRA,2014-01-01,2.36334155452074
BRA,2014-04-01,2.2303866569401163
BRA,2014-07-01,2.274869589941053
BRA,2014-10-01,2.5456423041586933
BRA,2015-01-01,2.8641606012606062
BRA,2015-04-01,3.0725868793383833
BRA,2015-07-01,3.5460072448880733
BRA,2015-10-01,3.842577372967877
BRA,2016-01-01,3.90479006642374
BRA,2016-04-01,3.509943943639973
BRA,2016-07-01,3.246728930373177
BRA,2016-10-01,3.29300404171501
BRA,2017-01-01,3.142441955623583
BRA,2017-04-01,3.2130076382598833
BRA,2017-07-01,3.1633059351276764
BRA,2017-10-01,3.247824098124097
BRA,2018-01-01,3.2469089986824766
BRA,2018-04-01,3.6044917874396134
BRA,2018-07-01,3.9585421739130435
BRA,2018-10-01,3.8082767174854104
BRA,2019-01-01,3.7702114389233934
BRA,2019-04-01,3.91856251646904
BRA,2019-07-01,3.973302635046114
BRA,2019-10-01,4.1169935535479
BRA,2020-01-01,4.45779393939394
BRA,2020-04-01,5.375765800865803
BRA,2020-07-01,5.378265722441807
BRA,2020-10-01,5.400897747662967
BRA,2021-01-01,5.468957132505177
BRA,2021-04-01,5.2973068542568535
BRA,2021-07-01,5.22750606060606
BRA,2021-10-01,5.581662836438923
BRA,2022-01-01,5.234247384403036
BRA,2022-04-01,4.918860173160173
BRA,2022-07-01,5.2489269057029935
BRA,2022-10-01,5.253317099567097
BRA,2023-01-01,5.195294229249014
BRA,2023-04-01,4.95356071146245
BRA,2023-07-01,4.88077653554175
BRA,2023-10-01,4.953760028860031
BRA,2024-01-01,4.952101035196686
BRA,2024-04-01,5.218227549407113
BRA,2024-07-01,5.545109376372423
BRA,2024-10-01,5.8424697816676066
BRA,2025-01-01,5.850151922015184
BRA,2025-04-01,5.66688997113997
BRA,2025-07-01,5.447308068260244
BRA,2025-10-01,5.393936521739129
BRA,2026-01-01,5.2598692424242435
BRA,2026-04-01,5.04785808080808
BRA,2026-07-01,5.11364782608696
CAN,1995-01-01,1.4066736993630433
CAN,1995-04-01,1.3713696990430633
CAN,1995-07-01,1.3556624685753633
CAN,1995-10-01,1.3562557386429266
CAN,1996-01-01,1.36941738476984
CAN,1996-04-01,1.3647362112924233
CAN,1996-07-01,1.3702623322621867
CAN,1996-10-01,1.3507252587991736
CAN,1997-01-01,1.3593592352092332
CAN,1997-04-01,1.38644992784993
