code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,inv_equip,inv_struct,inv_dwell,inv_ipp,cons_dur,cons_semidur,cons_nondur,cons_serv,gdp_defl,cons_hh_defl,cons_gov_defl,inv_defl,capform_defl,exports_defl,imports_defl,inv_equip_defl,inv_struct_defl,inv_dwell_defl,inv_ipp_defl,cons_dur_defl,cons_semidur_defl,cons_nondur_defl,cons_serv_defl
SVN,1999-10-01,4416.1,2518.3,797.2,1204.8,1273.1,2011.8,2204.0,480.7,415.2,174.0,124.2,284.8,254.5,966.1,1064.4,65.69524404575951,64.90129374774497,57.53464203233257,68.00632196884173,67.68568238609176,70.5004205214466,67.7715937394299,87.24137931034483,55.33786485405838,58.96306336834971,66.99029126213593,96.54237288135592,77.99570946981305,58.12176633377452,61.91611889942413
SVN,2000-01-01,4506.0,2591.1,825.0,1257.7,1321.2,2150.2,2372.2,499.4,456.7,171.8,123.5,300.0,258.3,996.8,1084.1,66.10236624759781,66.85501973836985,58.345120226308346,68.5955822197982,68.47724681248056,71.93710270993643,71.28861642024282,86.83707181359763,56.585305414446786,59.1394148020654,68.84057971014492,102.38907849829351,79.20883164673413,59.24869234427009,62.91567523649236
SVN,2000-04-01,4615.3,2550.6,851.7,1245.4,1355.9,2309.4,2437.7,475.5,467.9,170.7,123.9,286.7,262.2,1016.3,1088.9,67.00882745804053,67.24847078675384,59.94932075737312,68.9743021710235,69.25984573734485,74.44154337104729,73.34296115774588,85.72201189832342,57.92992447690974,60.27542372881357,67.85323110624316,102.39285714285714,80.18348623853211,60.36110946130545,63.47790602774864
SVN,2000-07-01,4761.4,2653.1,884.6,1316.6,1424.0,2438.5,2655.0,520.6,494.7,166.8,130.9,286.8,266.0,1047.2,1120.6,68.40010917814712,68.43001212246267,61.99887860947575,71.17911012596637,71.1075601717767,76.92429022082018,76.69863646868501,90.28789455428372,59.08276603367969,61.52711176687568,71.21871599564744,102.75886778932282,81.59509202453988,62.03423967774421,64.28776318054041
SVN,2000-10-01,4896.6,2709.2,918.0,1338.2,1339.6,2610.1,2674.1,512.3,505.7,171.3,131.8,292.7,271.4,1082.9,1146.2,69.88952641945706,70.2119939874566,63.88753566706103,71.8805392920449,72.09127112259175,78.94322959199104,79.19973936737354,87.52776354006492,60.63549160671463,62.44987240247904,72.53714914694552,104.42383160899035,81.4770339237466,63.85400082552038,65.57583385777218
SVN,2001-01-01,5036.0,2773.2,960.8,1354.0,1351.4,2703.3,2728.1,545.4,494.6,170.4,143.2,289.6,288.2,1107.3,1165.6,71.44377136858233,71.24104092275284,66.28035320088301,73.29219443542276,72.78504874239242,80.0290121081145,78.89242336610758,90.19348437241608,61.68620603641806,63.48733233979136,74.73903966597076,106.43145902241824,83.48783314020858,64.94047269954842,66.34412886333882
SVN,2001-04-01,5188.0,2882.5,981.2,1369.2,1389.2,2749.5,2809.9,551.1,500.4,176.0,145.9,300.9,292.3,1158.0,1207.9,73.00050655710024,72.79408050911663,67.35310269082922,73.71197846567968,73.76805437553101,82.66438170830703,81.16641150813138,90.44805514524866,62.45631552670993,64.16332482683194,76.82991047919958,107.84946236559138,83.34759053321928,67.19665757558174,68.20440429136082
SVN,2001-07-01,5337.9,2898.6,1004.7,1430.6,1447.4,2800.6,2834.8,584.1,508.3,180.1,148.8,308.0,298.6,1190.5,1213.4,74.70400537408683,73.85344476151651,68.33299326668028,74.55312939705038,74.64287556082719,82.4967597502062,79.86701977799065,90.19456454601604,63.68078175895765,65.34833091436865,77.09844559585493,106.90732384588684,82.76053215077606,68.48645228096416,69.30941908950706
SVN,2001-10-01,5459.8,2985.9,1032.7,1406.7,1433.2,2794.7,2787.1,537.6,512.3,176.5,158.1,318.7,302.5,1219.1,1247.1,75.99626964352825,75.2760550597489,70.0373007799254,75.14824509856295,75.13499344692005,81.69487561752754,79.47701608303866,89.198606271777,64.35121215927646,65.95665171898355,78.42261904761905,108.80846705360192,84.40290178571429,69.33401581072626,71.03958986043861
SVN,2002-01-01,5644.9,3094.6,1063.7,1410.4,1468.5,2983.6,2931.4,541.8,512.5,183.3,162.7,329.3,299.9,1237.0,1298.9,77.63154275655307,77.80655218364217,71.47080561714708,76.22135754431474,76.71211408870083,83.40834754409997,81.24497658047171,90.92129551938244,65.07936507936508,67.06915477497256,81.30934532733633,110.87542087542089,83.91158365976496,71.23934577286339,73.4464235227594
