code,date,gdp_output,va_total,va_agri,va_ind,va_mfg,va_constr,va_trade,va_ict,va_fin,va_realest,va_prof,va_public,va_other,va_services,taxes_prod,chainlink_disc,gdp_output_defl,va_total_defl,va_agri_defl,va_ind_defl,va_mfg_defl,va_constr_defl,va_trade_defl,va_ict_defl,va_fin_defl,va_realest_defl,va_prof_defl,va_public_defl,va_other_defl,va_services_defl,taxes_prod_defl,chainlink_disc_defl
HRV,2025-04-01,22957.5,18991.2,665.7,2806.8,2316.2,1521.6,4629.5,1045.1,876.9,1657.0,1688.7,3416.5,711.7,14025.4,3982.7,0.0,132.2771900712162,132.9357412851743,138.6586127890023,128.4753055339406,128.68492694038557,138.61710849959005,131.63955868971792,112.55788906838984,128.4835164835165,131.80082723512567,145.00257599175683,141.24188680805324,131.7475009255831,133.7637813298745,128.391360412637,
HRV,2025-07-01,23425.4,19372.7,691.7,2893.8,2383.7,1563.8,4716.5,1069.4,895.0,1676.2,1698.6,3449.8,744.8,14250.3,4041.4,0.0,134.33458920409907,135.2313341151505,139.54004438168246,129.98832090557903,128.6678182014466,139.74977658623772,135.12777905111162,115.08824795523032,128.85113734523466,134.47252306458083,147.35837598681357,140.4641693811075,138.64482501861502,135.9489033685998,128.6209859648006,
HRV,2025-10-01,24103.8,19991.1,685.7,2971.6,2429.7,1613.1,4868.4,1072.3,935.9,1701.8,1704.2,3598.2,794.0,14675.0,4151.7,0.0,136.5290829071012,138.48279970628576,139.03081914030818,131.02292768959435,131.40616549486208,142.6386064196657,138.24790572199345,113.97746598639456,135.63768115942028,134.7213426219126,148.11402746393188,147.16564417177915,146.6297322253001,139.41668250047502,129.46551078957216,
HRV,2026-01-01,24218.9,19937.7,683.2,2904.5,2358.2,1611.7,4835.8,1104.3,931.5,1745.8,1681.1,3623.5,803.3,14725.3,4222.2,0.0,137.23389185115508,137.6732334845566,138.8335704125178,131.4372341388361,131.32483154201702,144.80682839173406,137.11579902461153,116.01008509297196,135.5303360977739,135.89164785553046,146.71844999127248,146.32127281537714,146.5341116380883,139.04122523747475,134.95061846773422,
HUN,1995-01-01,1317362.5,1135805.8,101055.3,283342.8,241448.9,59628.5,192687.4,36292.6,56720.8,78012.5,63366.7,219933.4,49242.4,696255.8,175669.2,0.0,18.05866238473824,18.795260719283903,25.726856971778066,21.881844766318203,24.544893215758577,14.571528135511045,18.12242929415623,42.545115223471875,9.726277400424951,10.32950748193321,19.22438884981988,15.359755130472095,20.739265720894423,,14.298241829974923,
HUN,1995-04-01,1426442.6,1192933.3,104024.9,303024.1,259499.3,60672.2,203701.7,39919.8,60147.4,83323.4,68483.4,223269.2,49937.4,728782.3,243041.6,0.0,19.60035810532635,19.79708890515081,26.659851237758943,23.582466033248934,26.972898763941497,15.809241204783614,19.16497661271415,44.36598116881385,10.526654764527892,10.988231915027455,20.314406791224656,15.651953483239865,21.03115291168604,,19.37277236305376,
HUN,1995-07-01,1506158.2,1274219.7,107125.8,326459.5,273678.7,63085.0,217049.6,43971.5,62285.1,90526.2,75077.4,241887.1,51520.8,782317.7,229954.2,0.0,20.704025690749702,21.10973076613023,27.99673946592159,25.00510121390508,27.81775260398799,17.164659928321186,20.53561874392173,47.03588811039205,11.26101058752061,11.817449360240948,22.02566248698525,16.949114419350458,22.361225403902043,,18.20131257601056,
HUN,1995-10-01,1612898.2,1363222.7,114091.0,350725.5,290850.1,63137.3,231476.3,48234.2,62671.7,99539.8,82757.5,243961.4,53502.3,822143.2,245096.0,0.0,22.265992530054188,22.72084865490049,30.96221660281054,26.497220185107437,29.587289748223792,18.775345495701913,21.99198839616196,50.52473904458632,11.580772263370696,12.924175163565025,23.742834043593344,17.111988964107045,23.57820709325375,,19.094241944275844,
HUN,1996-01-01,1685921.8,1418161.1,125381.5,352866.8,295551.1,64627.3,242847.1,52569.3,76012.5,105183.7,90055.2,253674.5,54592.9,874935.0,263897.0,0.0,23.07226051240995,23.183052779149993,29.89864675545856,26.41223900677045,29.57697625854794,18.900911276650067,23.41019636362094,51.6534837334067,14.841423019361944,13.502695180767745,23.419325796412643,17.699989694318987,25.073369812329435,21.09294093144813,22.747968606584458,
HUN,1996-04-01,1742401.4,1513112.8,130524.6,378000.1,316279.5,68357.9,255320.7,57605.5,76646.3,113473.9,97367.8,274064.9,56321.4,930800.4,232413.5,0.0,24.035722594987448,24.8592186759942,32.934393427483556,27.957402397072965,30.78229869037794,19.98004856622087,24.786251686745818,55.44764403701162,15.486907425446592,14.475931131278037,25.63040318322217,18.981647223743053,26.62372563117508,22.50992251129371,20.078729273415114,
HUN,1996-07-01,1816530.3,1540526.7,133229.6,385445.5,325388.2,70172.3,264081.7,62331.7,79451.1,118244.8,101213.5,273442.0,56547.9,955312.7,275257.6,0.0,25.104794703627604,25.387507087737887,35.57461466058757,28.61998813012137,32.03108880513209,19.997178771825336,25.573556523994228,57.45222507237787,16.38547761510768,14.988328870438735,26.275768950493138,19.054134697476012,26.763498438619624,23.04842198457762,23.3494613358017,
