code,year,status,informal_rate
COK,2019,TOTAL,29.171
COK,2019,EES,17.75
COK,2019,SLF,80.603
COK,2023,TOTAL,40.178
COK,2023,EES,32.49
COK,2023,SLF,72.128
COL,2007,TOTAL,67.078
COL,2007,EES,51.7
COL,2007,SLF,85.226
COL,2008,TOTAL,66.839
COL,2008,EES,47.251
COL,2008,SLF,86.061
COL,2009,TOTAL,68.763
COL,2009,EES,46.329
COL,2009,SLF,89.078
COL,2010,TOTAL,68.069
COL,2010,EES,45.404
COL,2010,SLF,87.508
COL,2011,TOTAL,67.371
COL,2011,EES,44.698
COL,2011,SLF,86.618
COL,2012,TOTAL,66.953
COL,2012,EES,43.829
COL,2012,SLF,87.005
COL,2013,TOTAL,65.045
COL,2013,EES,42.173
COL,2013,SLF,85.628
COL,2014,TOTAL,63.429
COL,2014,EES,39.733
COL,2014,SLF,85.492
COL,2015,TOTAL,63.208
COL,2015,EES,38.93
COL,2015,SLF,86.093
COL,2016,TOTAL,62.419
COL,2016,EES,37.171
COL,2016,SLF,86.276
COL,2017,TOTAL,62.192
COL,2017,EES,36.209
COL,2017,SLF,86.525
COL,2018,TOTAL,62.421
COL,2018,EES,35.597
COL,2018,SLF,87.229
COL,2019,TOTAL,61.95
COL,2019,EES,37.1
COL,2019,SLF,86.794
COL,2021,TOTAL,63.242
COL,2021,EES,36.905
COL,2021,SLF,88.263
COL,2022,TOTAL,58.148
COL,2022,EES,34.811
COL,2022,SLF,84.316
COL,2023,TOTAL,56.506
COL,2023,EES,33.086
COL,2023,SLF,83.308
COL,2024,TOTAL,56.143
COL,2024,EES,33.268
COL,2024,SLF,83.225
COL,2025,TOTAL,56.012
COL,2025,EES,33.114
COL,2025,SLF,83.321
COM,2014,TOTAL,94.701
COM,2014,EES,97.305
COM,2014,SLF,92.859
COM,2021,TOTAL,88.809
COM,2021,EES,72.04
COM,2021,SLF,94.898
CPV,2015,TOTAL,60.587
CPV,2015,EES,43.016
CPV,2015,SLF,86.691
CRI,2011,TOTAL,37.072
CRI,2011,EES,26.143
CRI,2011,SLF,66.896
CRI,2012,TOTAL,39.113
CRI,2012,EES,28.879
CRI,2012,SLF,66.027
CRI,2013,TOTAL,40.871
CRI,2013,EES,30.459
CRI,2013,SLF,64.977
CRI,2014,TOTAL,41.22
CRI,2014,EES,30.042
CRI,2014,SLF,67.697
CRI,2015,TOTAL,42.052
CRI,2015,EES,30.288
CRI,2015,SLF,70.262
CRI,2016,TOTAL,40.161
CRI,2016,EES,28.917
CRI,2016,SLF,68.633
CRI,2017,TOTAL,40.73
CRI,2017,EES,27.79
CRI,2017,SLF,73.611
CRI,2018,TOTAL,40.919
CRI,2018,EES,27.835
CRI,2018,SLF,71.644
CRI,2019,TOTAL,41.847
CRI,2019,EES,28.686
CRI,2019,SLF,70.645
CRI,2020,TOTAL,40.016
CRI,2020,EES,25.634
CRI,2020,SLF,70.21
CRI,2021,TOTAL,41.315
CRI,2021,EES,26.532
CRI,2021,SLF,72.832
CRI,2022,TOTAL,39.869
CRI,2022,EES,25.968
CRI,2022,SLF,71.02
CRI,2023,TOTAL,37.102
CRI,2023,EES,23.226
CRI,2023,SLF,72.763
CRI,2024,TOTAL,37.376
CRI,2024,EES,22.24
CRI,2024,SLF,75.447
CRI,2025,TOTAL,36.11
CRI,2025,EES,21.096
CRI,2025,SLF,76.083
CRI,2010,TOTAL,37.852
CRI,2010,EES,29.127
CRI,2010,SLF,64.295
CYP,2007,TOTAL,15.548
CYP,2007,EES,2.227
CYP,2007,SLF,94.111
CYP,2008,TOTAL,15.399
CYP,2008,EES,2.653
CYP,2008,SLF,93.079
CYP,2009,TOTAL,13.975
CYP,2009,EES,1.703
CYP,2009,SLF,92.853
CYP,2010,TOTAL,13.209
CYP,2010,EES,1.834
CYP,2010,SLF,95.221
CYP,2011,TOTAL,11.972
CYP,2011,EES,1.899
CYP,2011,SLF,95.808
CYP,2012,TOTAL,12.076
CYP,2012,EES,2.225
CYP,2012,SLF,93.186
CYP,2013,TOTAL,10.681
CYP,2013,EES,1.178
CYP,2013,SLF,91.853
CYP,2014,TOTAL,11.326
CYP,2014,EES,1.757
CYP,2014,SLF,87.529
CYP,2015,TOTAL,12.072
CYP,2015,EES,2.057
CYP,2015,SLF,89.852
CYP,2016,TOTAL,11.656
CYP,2016,EES,1.897
CYP,2016,SLF,90.557
CYP,2017,TOTAL,11.877
CYP,2017,EES,1.477
CYP,2017,SLF,88.611
CYP,2018,TOTAL,10.819
CYP,2018,EES,1.482
CYP,2018,SLF,86.593
CYP,2019,TOTAL,10.43
CYP,2019,EES,1.432
CYP,2019,SLF,88.48
CYP,2020,TOTAL,10.087
CYP,2020,EES,1.026
CYP,2020,SLF,88.666
CYP,2021,TOTAL,3.566
CYP,2021,EES,2.156
CYP,2021,SLF,15.754
CYP,2022,TOTAL,4.29
CYP,2022,EES,3.509
CYP,2022,SLF,11.749
CYP,2023,TOTAL,3.094
CYP,2023,EES,2.39
CYP,2023,SLF,10.189
CYP,2024,TOTAL,2.645
CYP,2024,EES,2.041
CYP,2024,SLF,9.517
CYP,2025,TOTAL,2.909
CYP,2025,EES,1.823
CYP,2025,SLF,14.929
CZE,2007,TOTAL,15.522
CZE,2007,EES,0.653
CZE,2007,SLF,94.41
CZE,2008,TOTAL,15.85
CZE,2008,EES,0.557
CZE,2008,SLF,95.735
CZE,2009,TOTAL,16.025
CZE,2009,EES,0.59
CZE,2009,SLF,94.058
CZE,2010,TOTAL,16.202
CZE,2010,EES,0.625
CZE,2010,SLF,93.469
CZE,2011,TOTAL,17.608
CZE,2011,EES,1.182
CZE,2011,SLF,94.515
CZE,2012,TOTAL,18.288
CZE,2012,EES,1.001
CZE,2012,SLF,96.288
CZE,2013,TOTAL,18.46
CZE,2013,EES,1.011
CZE,2013,SLF,95.638
CZE,2014,TOTAL,17.754
CZE,2014,EES,1.07
CZE,2014,SLF,96.92
CZE,2015,TOTAL,17.881
CZE,2015,EES,1.297
CZE,2015,SLF,97.325
CZE,2016,TOTAL,17.341
CZE,2016,EES,0.972
CZE,2016,SLF,96.133
CZE,2017,TOTAL,16.807
CZE,2017,EES,1.036
CZE,2017,SLF,95.969
CZE,2018,TOTAL,16.748
CZE,2018,EES,0.74
CZE,2018,SLF,95.395
CZE,2019,TOTAL,16.313
CZE,2019,EES,0.594
CZE,2019,SLF,95.698
CZE,2020,TOTAL,16.504
CZE,2020,EES,0.478
CZE,2020,SLF,94.651
CZE,2021,TOTAL,17.075
CZE,2021,EES,1.303
CZE,2021,SLF,93.507
CZE,2022,TOTAL,17.304
CZE,2022,EES,1.541
CZE,2022,SLF,94.993
CZE,2023,TOTAL,4.117
CZE,2023,EES,1.99
CZE,2023,SLF,14.567
CZE,2024,TOTAL,3.798
CZE,2024,EES,1.882
