code,date,gdp,cons_hh,cons_gov,inv,capform,exports,imports,src_gdp,src_cons_hh,src_cons_gov,src_inv,src_capform,src_exports,src_imports
JPN,1957-07-01,3036756.576587004,1606901.667292842,382349.7667216555,912889.466118277,1080981.6841557878,344818.9608834829,375473.75901461754,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1957-10-01,2994576.773185121,1647866.8573443098,387340.55410453427,888379.0431348315,952124.5735708566,311398.82405885204,323047.7777654205,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1958-01-01,2969377.0444860472,1633486.9533022707,394192.9844000742,864827.9927681623,875087.7507594349,330839.13057786954,291495.5746954625,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1958-04-01,3059712.123438414,1687335.6020970934,390113.21376168914,889555.0482779767,904404.2847705042,313648.7424986343,269350.55545780464,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1958-07-01,3171650.832466489,1714178.0896422332,416770.35589404945,901717.4172583984,988777.9478496803,311297.70412897423,277715.3216222012,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1958-10-01,3265311.6266870815,1758650.5733624909,415502.85433649295,903141.0024316794,1032028.3129574934,326137.0538385493,287681.8515202057,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1959-01-01,3304976.86488616,1813972.2854982058,424850.67832347215,937214.2040791207,991274.9397055127,343959.4414795211,300928.183348931,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1959-04-01,3479482.282293696,1865739.9400495465,436773.11484923813,991434.2306788637,1126050.8458005649,368152.3847027977,336268.6847729775,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1959-07-01,3698952.451661059,1976757.4756456474,455270.71570482844,1060261.4790566198,1205276.3898683337,382334.4548681668,342040.11917819944,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
JPN,1959-10-01,3736319.431341446,1956041.061041994,449527.3492721505,1170094.1699256198,1311228.9949114935,396339.56515624956,382185.9118030696,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68,jp_sna68
